x      	 y      	 data
22    	 22    		 102
23    	 23    		 114
24    	 24    		 113
25    	 25    		 103
26    	 26    		 111
27    	 27    		 114
28    	 28    		 112
29    	 29    		 107
30    	 30    		 102
31    	 31    		 98
32    	 32    		 94
33    	 33    		 98
34    	 34    		 110
35    	 35    		 123
36    	 36    		 127
37    	 37    		 126
38    	 38    		 117
39    	 39    		 114
40    	 40    		 114
41    	 41    		 107
42    	 42    		 107
43    	 43    		 118
44    	 44    		 122
45    	 45    		 120
46    	 46    		 119
47    	 47    		 119
48    	 48    		 119
49    	 49    		 118
50    	 50    		 119
51    	 51    		 118
52    	 52    		 115
53    	 53    		 115
54    	 54    		 122
55    	 55    		 121
56    	 56    		 118
57    	 57    		 112
58    	 58    		 109
59    	 59    		 112
60    	 60    		 118
61    	 61    		 124
62    	 62    		 125
63    	 63    		 125
64    	 64    		 128
65    	 65    		 131
66    	 66    		 131
67    	 67    		 125
68    	 68    		 118
69    	 69    		 116
70    	 70    		 118
71    	 71    		 121
72    	 72    		 121
73    	 73    		 120
74    	 74    		 119
75    	 75    		 114
76    	 76    		 107
77    	 77    		 110
78    	 78    		 113
79    	 79    		 110
80    	 80    		 106
81    	 81    		 114
82    	 82    		 120
83    	 83    		 121
84    	 84    		 123
85    	 85    		 114
86    	 86    		 115
87    	 87    		 120
88    	 88    		 122
89    	 89    		 124
90    	 90    		 124
91    	 91    		 113
92    	 92    		 109
93    	 93    		 113
94    	 94    		 109
95    	 95    		 110
96    	 96    		 111
97    	 97    		 110
98    	 98    		 108
99    	 99    		 108
100    	 100    		 107
